Natural_language_description,Code1,Code2
trace ip tox user,None,"Bob then creates an onion (the packet will go through A, B, C and will end up at D) 
announce request packet with his real public key, ping_id as zeros and
searching for his real public key.
"
save htop output file,None,ps auxf > file.txt
find ip address router,None,"route -n | grep ""^0.0.0.0"" | cut -d ' ' -f 10
"
recalling command history,None,"bind '""\e[A"": history-search-backward'
bind '""\e[B"": history-search-forward'
"
discard saved session xubuntu,None,"
$ rm .cache/session/*
$ chmod -w .cache/session"
stop less storing history,None,"history | LESSHISTFILE=/dev/null less
"
power button work lxde fix,None,"sudo apt install lxsession-logout
"
log command gnome less environment,None,<modkey> + shift + q
shutdown logout top panel ubuntu lts,None,from time import sleep
make static binary coreutils,None,"static-get -x coreutils
"
resolve lib modules generic build file directory error message,None,"sudo apt-get install linux-generic
"
make modules error trying install rtl de driver,None,uname -r
install make without internet connection,None,sudo dpkg -i *
send custom desktop notification,None,"DISPLAY=:0.0 /usr/bin/notify-send ""TITLE"" ""MESSAGE""
"
run mysql command background nohup,None,"$ nohup mysql -u [username] -p [database_name] -e ""[sql_query]""
Enter password:
"
alternatives nohup,None,"thecommand &>/dev/null &
"
parsing etc passwd find root user whether user run interactive shell,None,"import grp
import pwd
print([x for x in grp.getgrnam('sudo').gr_mem if pwd.getpwnam(x).pw_shell not in ('/bin/false', '/bin/nologin')])
"
automatically sync folder usb usb plugged,None,/usr/bin/rsync -av /dir/you/want/to/sync /place/to/sync/to
suspend using keyboard shortcut without administrator privileges,None,"systemctl suspend
"
ubuntu suspend anymore upon install,None,"sudo apt-get install hal
"
suspend work dell inspiron,None,"dmesg -T|grep Freez -A4
"
safely change grub screen resolution,None,videotest 1280x1024
unknown monitor intel driver want set vga resolution widescreen tv,None,man xorg.conf
wireless connect suspend asus k f,None,sudo service network-manager restart
send literal f etc byobu,None,"Shift-F12                   Toggle on/off Byobu's keybindings
"
backup android phone ubuntu,None,"adb backup [-f <file>] [-apk|-noapk] [-shared|-noshared] [-all] [-system|nosystem] [<packages...>]
"
screen resolution multiple monitors kubuntu asus u e bal,None,Kubuntu 12.04 LTS
fix broken drivers intel gpus,None,"gksudo xdiagnose
"
ubuntu hp dv connect wireless network suspend,None,sudo service network-manager restart
wifi switch waking suspend,None,sudo service network-manager restart
suspend command line screen locked,None,xfce4-session-logout --suspend
stop syncing folder outside ubuntu one,None,Stop synchronizing
use laptop external screen closing cover,None,"#!/bin/bash
sleep 5
XRANDRexternal=""xrandr --output HDMI1 --off --output LVDS1 --off --output DP1 --set audio off --mode 2560x1600 --output VGA1 --off""
XRANDRnoexternal=""xrandr --output HDMI1 --off --output LVDS1 --mode 1280x800 --pos 0x0 --rotate normal --output DP1 --off --output VGA1 --off""
if xrandr | grep -q ' connected'
then
${XRANDRexternal}
else
${XRANDRnoexternal}
fi
"
system update screen size small,ubuntu-desktop,xrandr --output HDMI-0 --mode 1920x1080
ubuntu know connected internet,None,ping 8.8.8.8
disable backlight lock screen,None,"bash -c ""xset dpms force off; gnome-screensaver-command -l""
"
screen goes watching video youtube,None,"#!/bin/bash

#Disable modes
/usr/bin/xset -dpms &
/usr/bin/xset s off &

#Open VLC
/usr/bin/vlc ""$@""

#Re-enable modes
/usr/bin/xset dpms
/usr/bin/xset s on
exit
"
manage music ipod touch g ios ubuntu,None,"sudo apt-get install ifuse
sudo apt-get install ideviceinstaller
"
waked computer,None,"echo ""disabled"" > /sys/bus/usb/devices/3-7/power/wakeup"
hangs waking suspend except suspended console,None,"#!/bin/bash
#Script kills autofs when going into standby to eliminate issues with it
case $1 in

suspend|hibernate)  # instead of just ""suspend""
#suspending to RAM
    chvt 1
    echo ""Going to sleep""
    sleep 1
;;
resume|thaw)  # instead of just ""resume""
#resume from suspend 
    echo ""try to resume""
    sleep 1
    chvt 7
;;       
esac 
"
ubuntu suspend crashes kde black screen wake,None,"pm-suspend --store-quirks-as-lkw
"
ubuntu one shut way sync applications computers,None,"sudo add-apt-repository ppa:tuxpoldo/btsync
sudo sudo apt-get update
sudo apt-get install btsync
"
activate dialogue box suspend,None,"[Desktop Entry]
Name=Shutdown
Exec=bash -c ""dbus-send --system --print-reply --dest=""org.freedesktop.ConsoleKit"" /org/freedesktop/ConsoleKit/Manager org.freedesktop.ConsoleKit.Manager.Stop""
Icon=???
Terminal=false
Type=Application
Categories=Utility;Application;
"
touch screen calibration,None,"gksudo gedit
"
laptop suspend ubuntu,None,"sudo vim /etc/systemd/logind.conf
"
google chrome profile loading,"~/.config/google-chrome/
","sudo apt-get purge chrome-gnome-shell
"
record screen video report bugs ubuntu interface,None,"sudo apt-get install kazam openshot ffmpeg
"
google chrome screen flickering,None,"sudo apt-get purge xserver-xorg-video*
sudo reboot
"
ubuntu activate network update fix,None,"sudo systemctl restart NetworkManager.service
"
wifi works wait login screen networks available,None,"sudo apt-get install indicator-applet indicator-network
"
dns resolution fails wakeup standby ubuntu,None,sudo service dnsmasq restart
suspend lid close work,None,"#!/bin/bash
if grep -q closed /proc/acpi/button/lid/*/state

then
     /usr/sbin/pm-suspend
 fi
"
work two graphic cards ubuntu,None,sudo apt install nvidia-352
installing ubuntu without screen,None,serial 0 9600 0×003
ubuntu dell xps suspend occasionally fails,None,"sudo chmod 777 /etc/pm/config.d/suspend_broardcom
"
loginscreen standby wrong keyboard layout,None,"dconf reset -f /org/gnome/
"
sytem font go get back,None,"Section ""Device""
    Identifier  ""Intel Graphics""
    Driver      ""intel""
    Option      ""AccelMethod""  ""uxa""
EndSection
"
disable password request suspend,None,"sudo apt install dconf-editor
"
running string commands waking suspend startup,None,"screen --help
Use: screen [-opts] [cmd [args]]
 or: screen -r [host.tty]

Options:
-4            Resolve hostnames only to IPv4 addresses.
-6            Resolve hostnames only to IPv6 addresses.
-a            Force all capabilities into each window's termcap.
-A -[r|R]     Adapt all windows to the new display width & height.
-c file       Read configuration file instead of '.screenrc'.
-d (-r)       Detach the elsewhere running screen (and reattach here).
-dmS name     Start as daemon: Screen session in detached mode.
-D (-r)       Detach and logout remote (and reattach here).
-D -RR        Do whatever is needed to get a screen session.
-e xy         Change command characters.
-f            Flow control on, -fn = off, -fa = auto.
-h lines      Set the size of the scrollback history buffer.
-i            Interrupt output sooner when flow control is on.
-l            Login mode on (update /var/run/utmp), -ln = off.
-ls [match]   or -list. Do nothing, just list our SockDir [on possible matches].
-L            Turn on output logging.
-m            ignore $STY variable, do create a new screen session.
-O            Choose optimal output rather than exact vt100 emulation.
-p window     Preselect the named window if it exists.
-q            Quiet startup. Exits with non-zero return code if unsuccessful.
-r [session]  Reattach to a detached screen process.
-R            Reattach if possible, otherwise start a new session.
-s shell      Shell to execute rather than $SHELL.
-S sockname   Name this session <pid>.sockname instead of <pid>.<tty>.<host>.
-t title      Set title. (window's name).
-T term       Use term as $TERM for windows, rather than ""screen"".
-U            Tell screen to use UTF-8 encoding.
-v            Print ""Screen version 4.01.00devel (GNU) 2-May-06"".
-wipe [match] Do nothing, just clean up SockDir [on possible matches].
-x            Attach to a not detached screen. (Multi display mode).
-X            Execute <cmd> as a screen command in the specified session.
"
upside mouse cursor inverted position ubuntu,None,"sudo apt remove iio-sensor-proxy
"
sleep mode ubuntu,None,"gsettings set org.gnome.desktop.screensaver ubuntu-lock-on-suspend true
gsettings set org.gnome.desktop.lockdown disable-lock-screen false
"
upgraded suspend work anymore,None,"if sed -e '/GRUB_CMDLINE_LINUX_DEFAULT=\""quiet splash\""/s/splash/& acpi_sleep=nonvs/' /etc/default/grub >junk
then                                                        
  mv junk /etc/default/grub                                 
  update-grub                                               
  echo 'SUCCESS!'                                           
else                                                        
  echo ' *** FAILURE'                                       
fi                                                          
"
put ubuntu standby suspend ubuntu,None,"cat /etc/polkit-1/localauthority/50-local.d/com.ubuntu.enable-hibernate.pkla 
# aktiviere hibernate
[Re-enable hibernation]
Identity=unix-user:*
Action=org.freedesktop.upower.hibernate
ResultActive=yes
"
login screen takes long time open suspend,None,blacklist ucsi_ccg
gnome supend laptop lid close longer works since upgrade,None,sudo mv /usr/lib/systemd/gsd-power* /
use ubuntu laptop second monitor windows,None,Windows key + P
turn password requirement awakening suspend mode,None,"sudo apt install dconf-editor
"
command last show logins sftp something similar logs,None,man wtmp
shutdown computer hitting power button,None,"cp /etc/xdg/xfce4/xfconf/xfce-perchannel-xml/xfce4-power-manager.xml $HOME/.config/xfce4/xfconf/xfce-perchannel-xml
DISPLAY=:0.0 xfconf-query -c xfce4-power-manager -p /xfce4-power-manager/power-button-action -s 4
"
shut without confirmation prompt,None,gconftool-2 --type bool --set /apps/indicator-session/suppress_logout_restart_shutdown true
crash shutdown using second monitor,None,sudo update-grub
ubuntu show gb ram,None,grep --color=always -i PAE /proc/cpuinfo
plymouth boot fallback text mode,None,"sudo update-initramfs -c -k all
"
run command machine automatically shuts,"/etc/rc6.d/
",man 5 init
check much physical ram using gb mb format,None,free -to
make specific set iptables rules permanent,None,"sudo apt-get install iptables-persistent
"
enable power button server,None,sudo apt-get install acpid
nautilus load supported server method list please check gvfs installation,None,"sudo apt-get install --reinstall gvfs-backends 
"
check last shutdown clean,None,"Mar  9 14:14:06 *YOUR-HOSTNAME* rsyslogd: [origin software=""rsyslogd"" swVersion=""8.16.0"" x-pid=""1086"" x-info=""http://www.rsyslog.com""] exiting on signal 15.
Mar  9 15:23:42 *YOUR-HOSTNAME* rsyslogd: [origin software=""rsyslogd"" swVersion=""8.16.0"" x-pid=""1069"" x-info=""http://www.rsyslog.com""] start
"
change java runtime parameters,None,"export JAVA_OPTS='-Xincgc -Xmx2048M'
"
reccomended upgrade ram ubuntu,mmap,"sudo dmidecode -t memory
"
power button setting,None,"sudo pm-hibernate
"
removing filesystem quota partition,None,quotaon -a
restore operation shutdown menu,None,halt -p
upgrade got problem,None,"sudo apt-get install linux-generic-pae linux-headers-generic-pae
"
get alt sysrq work dell latitude e,None,"On x86   - You press the key combo 'ALT-SysRq-<command key>'. Note - Some
           keyboards may not have a key labeled 'SysRq'. The 'SysRq' key is
           also known as the 'Print Screen' key. Also some keyboards cannot
           handle so many keys being pressed at the same time, so you might
           have better luck with ""press Alt"", ""press SysRq"", ""release SysRq"",
           ""press <command key>"", release everything.
"
shutdown computer certain process ends,None,"#!/bin/bash
PROCESSNUM = `ps x | grep -c ""calculationthingy""` 
if [ ""$PROCESSNUM"" -lt 1 ] 
then
    # Make sure this in inactivated! 
    rm symlink_in_etc_hourly
    shutdown -h now 
fi
"
ubuntu swappiness,None,"cat /proc/sys/vm/swappiness
"
disabling control alt delete shutdown working,None,"exec shutdown -r now “Control-Alt-Delete pressed”
"
rebooting ubuntu server minimal desktop installation,None,"sudo shutdown -r now
"
ubuntu shutdown restart black screen,None,sudo shutdown
ubuntu bit system fails memory testing,None,"cat /proc/meminfo
"
extract full link div element,None,"wget -q -O- -- $(echo -n ""urlstring"" | sed -e 's/pattern/replacement/')"
replace characters string,None,"$ echo 'signaldate signaltime period UwThiSon3dH140__mean UwThiSon3dH140__sigma' | sed 's/ \+/,/g'
signaldate,signaltime,period,UwThiSon3dH140__mean,UwThiSon3dH140__sigma
"
ubuntu freeze reboot lts,None,"sudo -H gedit /etc/default/grub
"
system cant shutdown vagrant box halted manually,None,"for VM in `VBoxManage list runningvms | awk '{ print $2; }'`; do VBoxManage controlvm $VM poweroff; done
"
sed change birth date using regular expression,None,"$ sed ""s/^\(muru\/\)[0-9]\{1,2\}\/[0-9]\{1,2\}\/[0-9]\{2\}/\111\/14\/46/g"" <<<'muru/1/4/85'
muru/11/14/46
$ sed ""s/^\(muru\/\)[0-9]\{1,2\}\/[0-9]\{1,2\}\/[0-9]\{2\}/\111\/14\/46/g"" <<<'muru/10/4/85'
muru/11/14/46
$ sed ""s/^\(muru\/\)[0-9]\{1,2\}\/[0-9]\{1,2\}\/[0-9]\{2\}/\111\/14\/46/g"" <<<'muru/10/28/85'
muru/11/14/46
"
ubuntu must create always apache log directories start,/etc/rc.local,"chown -R $USER:$USER /var/log/apache2
"
replace first last match using sed,None,"sed -i ""0,/${old}/s,${old},${new},"" file
"
message acpi pcc probe failed starting version,None,"$ wget http://kernel.ubuntu.com/~kernel-ppa/mainline/v4.0-vivid/linux-headers-4.0.0-040000_4.0.0-040000.201504121935_all.deb
$ wget http://kernel.ubuntu.com/~kernel-ppa/mainline/v4.0-vivid/linux-headers-4.0.0-040000-generic_4.0.0-040000.201504121935_amd64.deb
$ wget http://kernel.ubuntu.com/~kernel-ppa/mainline/v4.0-vivid/linux-image-4.0.0-040000-generic_4.0.0-040000.201504121935_amd64.deb
sudo dpkg -i linux-headers-4.0.0*.deb linux-image-4.0.0*.deb
"
freeze,None,"sudo apt-get install fglrx
"
unable shutdown ubuntu server,None,"sudo shutdown -h now
"
boot stuck irq,None,"linux /vmlinuz-3.0.2..... nomodeset acpi=off
"
ubuntugnome bit shut,None,"sudo update-grub
"
replace add string file,None,"grep -q ""oldstring"" test.txt
if [ $? -eq 1 ]; then
    echo ""newstring"" >> test.txt
else
    sed -i 's/oldstring/newstring/g' test.txt
fi
"
failed fetch message upgrading,None,"e.g. sudo cp /etc/apt/sources.list /etc/apt/sources.list.backup.
"
remove xml like tags input,None,"weather ()
{
declare -a WEATHERARRAY
mapfile -t WEATHERARRAY < <(lynx -dump ""http://wxdata.weather.com/wxdata/weather/local/14225?cc=*&unit=f&dayf=1"" | xmlstarlet sel -T -t -m ""/weather/cc"" -c ""tmp"" -n -c ""flik"" -n -c ""t"" -n) ;
echo -ne ""Today:"" ${WEATHERARRAY[2]} ""-"" ${WEATHERARRAY[0]}""º"" ""Feels Like:"" ${WEATHERARRAY[1]}""º"" 
}
"
increase ubuntu virtual memory swap matlab,None,"#!/usr/bin/env bash

SWAP_FILE=/tmp/my_swap_file
SIZE_MB=10
TO_RUN=""R""

dd if=/dev/zero of=${SWAP_FILE} bs=1M count=${SIZE_MB}
mkswap ${SWAP_FILE}
chmod 0600 ${SWAP_FILE}
sudo swapon -v ${SWAP_FILE}
echo ""Swap enabled. Press enter to continue""; read
${TO_RUN}
echo ""I will remove the swap. Press enter to continue""; read
sudo swapoff -v ${SWAP_FILE}
rm -vf ${SWAP_FILE}
"
extending ubuntu partition disk memory unknown filesystem partition,None,sudo swapoff -a
turn computer grub screen dual boot,halt,sudo shutdown -h now
help cve,None,"sudo sed -i 's/GRUB_CMDLINE_LINUX_DEFAULT=""/GRUB_CMDLINE_LINUX_DEFAULT=""panic=5 /' /etc/default/grub grub-install
sudo grub-install
"
reboot without power cycle,None,"apt-get install kexec-tools
dpkg-reconfigure kexec-tools
"
give virtualbox gpu memory,None,"VBoxManage modifyvm ""Name of VM"" --vram 256
"
know much ram upgrade laptop,None,serial: NXM8VSI0013090643D7620
part sed manpage explains delete lines file,None,info sed
ubuntu shut,None,"init 0
"
escaping literal string sed,None,"sed ""s/Parametersettings:/$HERE/g"" outpad1 > outpad2
"
check hardware clock utc local time,None,"sudo hwclock --debug
"
hardware clock interpreted utc,None,date -s
ubuntu enters tty type login screen startup,None,"sudo apt install lightdm  
sudo dpkg-reconfigure lightdm   
sudo reboot
sudo apt-get install compizconfig-settings-manager
DISPLAY=:0 ccsm &
sudo apt-get upgrade 
"
setup ubuntu fstab runs network connected,None,"/sbin/ifquery --all --state 2>/dev/null && /bin/mount -t cifs -o credentials=/root/.smbreds,noauto,x- 
"
